user_id,event_name,event_date,event_timestamp,session_length_minutes,purchase_value,ad_ilrd,user_age_days,is_premium_user,total_sessions,total_purchases,total_spent,days_since_last_session,retained_7_days,retained_30_days
user_0001,advert_completed,20250225,1740441600,33,0,0.13254025,103,FALSE,23,2,$13.89,68,FALSE,FALSE
user_0001,purchase_made,20241120,1732060800,20,0,0,103,FALSE,23,2,$13.89,29,FALSE,TRUE
user_0001,purchase_made,20240601,1717200000,16,57.62331921,0,103,FALSE,23,2,$13.89,70,FALSE,FALSE
user_0001,app_remove,20241105,1730764800,55,0,0,103,FALSE,23,2,$13.89,61,FALSE,FALSE
user_0001,advert_completed,20250401,1743465600,7,0,0.142409462,103,FALSE,23,2,$13.89,63,FALSE,FALSE
user_0001,app_remove,20240616,1718496000,1,0,0,103,FALSE,23,2,$13.89,45,FALSE,FALSE
user_0001,session_start,20240909,1725840000,6,0,0,103,FALSE,23,2,$13.89,54,FALSE,FALSE
user_0001,session_start,20241202,1733097600,48,0,0,103,FALSE,23,2,$13.89,60,FALSE,FALSE
user_0001,session_start,20241015,1728950400,57,0,0,103,FALSE,23,2,$13.89,1,TRUE,TRUE
user_0001,session_start,20250206,1738800000,22,0,0,103,FALSE,23,2,$13.89,63,FALSE,FALSE
user_0001,session_start,20240522,1716336000,19,0,0,103,FALSE,23,2,$13.89,29,FALSE,TRUE
user_0001,session_start,20241011,1728604800,37,0,0,103,FALSE,23,2,$13.89,41,FALSE,FALSE
user_0001,session_start,20240426,1714089600,44,0,0,103,FALSE,23,2,$13.89,45,FALSE,FALSE
user_0001,session_start,20240512,1715472000,34,0,0,103,FALSE,23,2,$13.89,78,FALSE,FALSE
user_0001,advert_completed,20240514,1715644800,45,0,0.131541694,103,FALSE,23,2,$13.89,10,FALSE,TRUE
user_0001,advert_completed,20240604,1717459200,20,0,0.076956748,103,FALSE,23,2,$13.89,70,FALSE,FALSE
user_0001,purchase_made,20240621,1718928000,9,0,0,103,FALSE,23,2,$13.89,18,FALSE,TRUE
user_0001,advert_completed,20250110,1736467200,26,0,0.057755901,103,FALSE,23,2,$13.89,56,FALSE,FALSE
user_0001,purchase_made,20240926,1727308800,5,0,0,103,FALSE,23,2,$13.89,63,FALSE,FALSE
user_0001,session_start,20241021,1729468800,34,0,0,103,FALSE,23,2,$13.89,37,FALSE,FALSE
user_0001,app_remove,20250419,1745020800,43,0,0,103,FALSE,23,2,$13.89,6,TRUE,TRUE
user_0001,advert_completed,20250322,1742601600,2,0,0.142684566,103,FALSE,23,2,$13.89,35,FALSE,FALSE
user_0001,session_start,20241107,1730937600,30,0,0,103,FALSE,23,2,$13.89,13,FALSE,TRUE
user_0002,app_remove,20240618,1718668800,24,0,0,436,TRUE,23,3,$543.67,87,FALSE,FALSE
user_0002,advert_completed,20241001,1727740800,45,0,0.002397896,436,TRUE,23,3,$543.67,68,FALSE,FALSE
user_0002,advert_completed,20250119,1737244800,33,0,0.19158484,436,TRUE,23,3,$543.67,74,FALSE,FALSE
user_0002,purchase_made,20240910,1725926400,7,132.7347548,0,436,TRUE,23,3,$543.67,38,FALSE,FALSE
user_0002,session_start,20240928,1727481600,39,0,0,436,TRUE,23,3,$543.67,26,FALSE,TRUE
user_0002,session_start,20250315,1741996800,25,0,0,436,TRUE,23,3,$543.67,25,FALSE,TRUE
user_0002,purchase_made,20240518,1715990400,1,0,0,436,TRUE,23,3,$543.67,79,FALSE,FALSE
user_0002,advert_completed,20241027,1729987200,37,0,0.066152986,436,TRUE,23,3,$543.67,72,FALSE,FALSE
